data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6160653,300,GRC1040,1040,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (Greece),Government of Greece (2019-),6,,,0,60,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,To Pontiki,National,"On 19 October, the mayor of East Samos and about 25 local councillors rallied at the passenger port where Frontex ships were docked and held banners reading ""Frontex do your job! Guard the European borders!"". They also protested for the transfer off Samos of the migrants and refugees living in open-air public spaces after this week's riots and fire at the reception centre that burned a large part of the camp. [size=about 25]",0,1571776728,GRC
6160654,300,GRC1041,1041,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),6,,,0,60,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,To Pontiki,National,"On 19 October, refugees and migrants living in open-air public spaces rallied for the second time at the capital of Samos to protest after this week's riots and fire at the reception centre in Samos that burned a large part of the camp. [size=no report]",0,1571776728,GRC
6160659,300,GRC1045,1045,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (Greece),POE-OTA: Panhellenic Federation of Workers of the Organisation of Local Administration Authorities; Labour Group (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; To Vima,National,"On 19 October, municipal workers supported by their federation POE-OTA in their ongoing action against the proposed development bill marched in central Athens and piled up garbage outside the Ministry of Interior. [size=no report]",0,1571776728,GRC
6160660,300,GRC1046,1046,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece); Labour Group (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 19 October, the Initiative of Workers, Students and Pensioners for Urban Transport in Thessaloniki protested for better and safer public transport. [size=no report]",0,1571776728,GRC
6160661,300,GRC1047,1047,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (Greece),,6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 19 October, members of anti-establishment groups rallied in Thessaloniki in solidarity with arrested anarchist demonstrators at the Turkish Consulate/Ataturk museum and demonstrators at the airport of Thessaloniki, who were protesting this week against Turkey's military operations in Syria. [size=no report]",0,1571776728,GRC
6160662,300,GRC1048,1048,2019-10-19,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA; ThessNews,Subnational,"On 19 October, members of the Student Struggle Front and other student associations rallied in Thessaloniki in an ongoing protest against proposed education reforms. [size=no report]",0,1571776728,GRC
6160655,300,GRC1042,1042,2019-10-18,2019,1,Riots,Mob violence,Rioters (International),Refugees/IDPs (International),5,Rioters (International),Refugees/IDPs (International),5,55,Europe,Greece,Central Macedonia,Thessaloniki,Delta,Diavata,40.6885,22.8576,1,To Pontiki; ThessNews,Subnational-National,"On 18 October, there were two injuries after clashes between migrants at the Diavata camp near Thessaloniki. [size=no report]",0,1571776728,GRC
6160656,300,GRC1043,1043,2019-10-18,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 18 October, secondary school students at the Thessaloniki music school held a musical protest in central Thessaloniki for better infrastructure, more teachers and for their school to acquire certification as a music school. [size=no report]",0,1571776728,GRC
6160657,300,GRC1044,1044,2019-10-18,2019,1,Protests,Protest with intervention,Protesters (Greece),Orthodox Christian Group (Greece),6,Police Forces of Greece (2019-),Orthodox Christian Group (Turkey),1,16,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 18 October, three nuns confronted the Ecumenical Patriarch of Constantinople during his visit at the Byzantine Museum of Thessaloniki and protested against the independence of the Ukrainian church from Moscow. Police officers escorted them out of the premises. [size=3]",0,1571776728,GRC
6160664,300,GRC1038,1038,2019-10-18,2019,1,Riots,Violent demonstration,Rioters (Greece),Rouvikonas,5,Civilians (Greece),Labour Group (Greece); Government of Greece (2019-),7,57,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,Ekathimerini,National,"On 18 October, four members of Rouvikonas splashed red paint at the entrance and caused damage in the political office of the health minister. They also scattered fliers reading 'Keep your hands off public health'. The incident took place during office hours when staff was present. There was one arrest. [size=four]",0,1571776728,GRC
6160665,300,GRC1039,1039,2019-10-18,2019,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),6,,,0,60,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,To Vima,National,"On 18 October, asylum seekers at the Samos reception center protested for the second day for better living conditions and to be transferred off Samos. Employees evacuated the reception center office area as a precaution. This is part of the protests that took place after this week's riots and fire at the reception centre that burned a large part of the camp. [size=no report]",0,1571776728,GRC
6160666,300,GRC1049,1049,2019-10-18,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Thessaly,Magnesia,Volos,Volos,39.3730,22.9427,1,FoititikaNea,National,"On 18 October, students of the University of Thessaly occupied school buildings for the day and marched in Volos in an ongoing protest against education reforms. [size=no report]",0,1571776728,GRC
6160639,300,GRC1024,1024,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),Students (Greece),6,,,0,60,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,AMNA; Ekathimerini,National,"On 17 October, students marched in central Athens in an ongoing protest against proposed education reforms and the abolition of the university asylum law. [size=no report]",0,1571776728,GRC
6160640,300,GRC1029,1029,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),6,,,0,60,Europe,Greece,North Aegean,Samos,Samos,Samos,37.7574,26.9762,1,AMNA; To Pontiki,National,"On 17 October, refugees and migrants at the reception centre in Samos rallied and marched briefly outside the camp shouting ""Freedom!"". They protested for being transferred off Samos. This is a continuation of the previous day's sitting protest in the island's capital after this week's riots and fire at the reception centre that burned a large part of the camp. [size=no report]",0,1571776728,GRC
6160643,300,GRC1032,1032,2019-10-17,2019,1,Riots,Violent demonstration,Rioters (Greece),Students (Greece); Far Left Group (Greece),5,,,0,50,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,ThessNews; MAKEDONIA,Subnational,"On 17 October, members of student associations aligned with the non-parliament left rallied in Thessaloniki in ongoing demonstrations against proposed education reforms. They marched to the Ministry of Macedonia and Thrace, where they spray painted slogans and attempted to break the iron door with wooden sticks. [size=no report]",0,1571776728,GRC
6160644,300,GRC1033,1033,2019-10-17,2019,1,Protests,Peaceful protest,Protesters (Greece),POE-OTA: Panhellenic Federation of Workers of the Organisation of Local Administration Authorities; Labour Group (Greece),6,,,0,60,Europe,Greece,Central Macedonia,Thessaloniki,Thessaloniki,Thessaloniki,40.6436,22.9309,1,MAKEDONIA,Subnational,"On 17 October, members of the municipal workers' union of Thessaloniki rallied at the Ministry of Macedonia and Thrace to protest against the proposed development bill. [size=no report]",0,1571776728,GRC
